Log_ID,Equipment_ID,Base_ID,Service_Date,Service_Type,Technician_Rank,Labor_Hours,Parts_Replaced,Cost_INR,Downtime_Days
ML-6827,EQ-1613,B07,2026-06-07,Oil & Filter Overhaul,Warrant Officer,48,"Brake Pads, Hydraulic Line",42530,1
ML-6828,EQ-1613,B07,2026-03-18,Oil & Filter Overhaul,Naik Mech,48,"Sensors, Wiring Harness",33972,1
ML-6829,EQ-1613,B07,2025-12-22,Emergency Repair,Warrant Officer,12,"Oil Filter, Gaskets",41361,1
ML-6830,EQ-1613,B07,2025-10-26,Routine Preventive,Subedar Tech,16,"Starter Motor, Battery",34230,1
ML-6831,EQ-1614,B02,2026-06-08,Oil & Filter Overhaul,Havildar Tech,48,"Sensors, Wiring Harness",13180,1
ML-6832,EQ-1614,B02,2026-04-11,Emergency Repair,Subedar Tech,4,"Injector Nozzle, Fuel Filter",14297,2
ML-6833,EQ-1615,B04,2026-05-10,Routine Preventive,Sergeant,24,"Tire Assembly, Hub Bearing",41923,1
ML-6834,EQ-1615,B04,2026-02-19,Pre-Mission Inspection,Sergeant,24,"Brake Pads, Hydraulic Line",41883,1
ML-6835,EQ-1615,B04,2025-11-24,Corrective Repair,Havildar Tech,24,"Alternator, Belt Drive",55078,1
ML-6836,EQ-1616,B02,2026-06-19,Pre-Mission Inspection,Warrant Officer,8,"Starter Motor, Battery",79110,1
ML-6837,EQ-1616,B02,2026-04-25,Oil & Filter Overhaul,Subedar Tech,8,"Radiator Core, Coolant",94505,1
ML-6838,EQ-1616,B02,2026-02-09,Pre-Mission Inspection,Naik Mech,48,"Oil Filter, Gaskets",106209,1
ML-6839,EQ-1616,B02,2025-12-06,Routine Preventive,Subedar Tech,4,"Tire Assembly, Hub Bearing",114109,1
ML-6840,EQ-1617,B03,2026-06-22,Corrective Repair,Subedar Tech,8,"Oil Filter, Gaskets",15711,5
ML-6841,EQ-1617,B03,2026-04-08,Emergency Repair,Sergeant,4,"Starter Motor, Battery",16862,5
ML-6842,EQ-1617,B03,2026-02-23,Emergency Repair,Naik Mech,48,"Oil Filter, Gaskets",12898,1
ML-6843,EQ-1618,B03,2026-06-16,Emergency Repair,Subedar Tech,24,"Starter Motor, Battery",12955,7
ML-6844,EQ-1618,B03,2026-04-11,Routine Preventive,Sergeant,8,"Starter Motor, Battery",15410,1
ML-6845,EQ-1618,B03,2026-02-04,Routine Preventive,Sergeant,12,"Oil Filter, Gaskets",16292,1
ML-6846,EQ-1618,B03,2025-12-09,Oil & Filter Overhaul,Warrant Officer,6,"Tire Assembly, Hub Bearing",13583,1
ML-6847,EQ-1619,B08,2026-06-28,Oil & Filter Overhaul,Subedar Tech,16,"Starter Motor, Battery",28706,1
ML-6848,EQ-1619,B08,2026-05-15,Corrective Repair,Sergeant,12,"Injector Nozzle, Fuel Filter",25655,3
ML-6849,EQ-1619,B08,2026-04-06,Routine Preventive,Subedar Tech,16,"Tire Assembly, Hub Bearing",22028,1
ML-6850,EQ-1620,B05,2026-05-14,Oil & Filter Overhaul,Naik Mech,4,"Brake Pads, Hydraulic Line",54104,1
ML-6851,EQ-1620,B05,2026-02-24,Emergency Repair,Warrant Officer,6,"Brake Pads, Hydraulic Line",42591,1
ML-6852,EQ-1621,B02,2026-06-10,Routine Preventive,Sergeant,8,"Tire Assembly, Hub Bearing",14636,1
ML-6853,EQ-1621,B02,2026-04-23,Emergency Repair,Subedar Tech,16,"Sensors, Wiring Harness",15839,5
ML-6854,EQ-1621,B02,2026-02-06,Routine Preventive,Sergeant,8,"Sensors, Wiring Harness",12101,1
ML-6855,EQ-1622,B02,2026-06-02,Pre-Mission Inspection,Naik Mech,48,"Brake Pads, Hydraulic Line",44898,1
ML-6856,EQ-1622,B02,2026-03-21,Emergency Repair,Naik Mech,8,"Sensors, Wiring Harness",29377,2
ML-6857,EQ-1622,B02,2026-01-04,Corrective Repair,Naik Mech,6,"Tire Assembly, Hub Bearing",44800,2
ML-6858,EQ-1623,B04,2026-06-17,Corrective Repair,Sergeant,24,"Injector Nozzle, Fuel Filter",101326,3
ML-6859,EQ-1623,B04,2026-04-05,Corrective Repair,Havildar Tech,6,"Starter Motor, Battery",78827,7
ML-6860,EQ-1623,B04,2026-02-21,Emergency Repair,Sergeant,4,"Brake Pads, Hydraulic Line",84001,2
ML-6861,EQ-1624,B02,2026-07-20,Oil & Filter Overhaul,Warrant Officer,4,"Tire Assembly, Hub Bearing",83277,1
ML-6862,EQ-1624,B02,2026-06-06,Corrective Repair,Sergeant,16,"Brake Pads, Hydraulic Line",76219,2
ML-6863,EQ-1624,B02,2026-05-22,Oil & Filter Overhaul,Naik Mech,24,"Sensors, Wiring Harness",53704,1
ML-6864,EQ-1625,B02,2026-06-24,Corrective Repair,Warrant Officer,8,"Oil Filter, Gaskets",12050,1
ML-6865,EQ-1625,B02,2026-04-15,Corrective Repair,Subedar Tech,6,"Alternator, Belt Drive",14848,1
ML-6866,EQ-1625,B02,2026-02-23,Routine Preventive,Naik Mech,48,"Alternator, Belt Drive",15027,1
ML-6867,EQ-1626,B07,2026-06-18,Emergency Repair,Subedar Tech,24,"Radiator Core, Coolant",16158,5
ML-6868,EQ-1626,B07,2026-04-23,Oil & Filter Overhaul,Sergeant,12,"Alternator, Belt Drive",12568,1
ML-6869,EQ-1626,B07,2026-02-09,Pre-Mission Inspection,Naik Mech,6,"Brake Pads, Hydraulic Line",15064,1
ML-6870,EQ-1627,B08,2026-06-30,Pre-Mission Inspection,Subedar Tech,6,"Starter Motor, Battery",23257,1
ML-6871,EQ-1627,B08,2026-05-13,Pre-Mission Inspection,Sergeant,4,"Injector Nozzle, Fuel Filter",21738,1
ML-6872,EQ-1627,B08,2026-03-24,Oil & Filter Overhaul,Sergeant,4,"Brake Pads, Hydraulic Line",31033,1
ML-6873,EQ-1628,B02,2026-05-20,Pre-Mission Inspection,Warrant Officer,12,"Tire Assembly, Hub Bearing",31922,1
ML-6874,EQ-1628,B02,2026-03-24,Corrective Repair,Naik Mech,48,"Injector Nozzle, Fuel Filter",44743,5
ML-6875,EQ-1629,B04,2026-06-27,Pre-Mission Inspection,Warrant Officer,24,"Radiator Core, Coolant",20723,1
ML-6876,EQ-1629,B04,2026-05-11,Corrective Repair,Sergeant,16,"Sensors, Wiring Harness",28630,2
ML-6877,EQ-1629,B04,2026-04-10,Corrective Repair,Naik Mech,48,"Tire Assembly, Hub Bearing",31703,5
ML-6878,EQ-1630,B06,2026-06-14,Emergency Repair,Subedar Tech,48,"Radiator Core, Coolant",12878,1
ML-6879,EQ-1630,B06,2026-04-20,Routine Preventive,Havildar Tech,12,"Alternator, Belt Drive",12376,1
ML-6880,EQ-1630,B06,2026-02-23,Pre-Mission Inspection,Warrant Officer,12,"Radiator Core, Coolant",13281,1
ML-6881,EQ-1631,B06,2026-06-24,Emergency Repair,Havildar Tech,6,"Radiator Core, Coolant",96212,1
ML-6882,EQ-1631,B06,2026-04-11,Corrective Repair,Havildar Tech,6,"Sensors, Wiring Harness",73179,7
ML-6883,EQ-1631,B06,2026-02-15,Corrective Repair,Sergeant,8,"Injector Nozzle, Fuel Filter",110112,5
ML-6884,EQ-1632,B01,2026-06-09,Corrective Repair,Sergeant,8,"Radiator Core, Coolant",11552,3
ML-6885,EQ-1632,B01,2026-04-22,Pre-Mission Inspection,Havildar Tech,12,"Alternator, Belt Drive",12066,1
ML-6886,EQ-1632,B01,2026-02-15,Corrective Repair,Subedar Tech,4,"Tire Assembly, Hub Bearing",12809,5
ML-6887,EQ-1632,B01,2025-12-11,Pre-Mission Inspection,Subedar Tech,16,"Oil Filter, Gaskets",12681,1
ML-6888,EQ-1633,B04,2026-06-29,Emergency Repair,Naik Mech,16,"Oil Filter, Gaskets",27271,3
ML-6889,EQ-1633,B04,2026-05-21,Emergency Repair,Warrant Officer,4,"Tire Assembly, Hub Bearing",20939,3
ML-6890,EQ-1634,B04,2026-05-09,Pre-Mission Inspection,Warrant Officer,8,"Brake Pads, Hydraulic Line",62077,1
ML-6891,EQ-1634,B04,2026-02-19,Corrective Repair,Warrant Officer,48,"Starter Motor, Battery",47259,1
ML-6892,EQ-1634,B04,2025-11-06,Pre-Mission Inspection,Subedar Tech,16,"Sensors, Wiring Harness",50319,1
ML-6893,EQ-1635,B01,2026-05-08,Emergency Repair,Subedar Tech,8,"Injector Nozzle, Fuel Filter",54017,3
ML-6894,EQ-1635,B01,2026-02-06,Emergency Repair,Naik Mech,16,"Oil Filter, Gaskets",49047,2
ML-6895,EQ-1635,B01,2025-11-22,Emergency Repair,Havildar Tech,6,"Starter Motor, Battery",52948,5
ML-6896,EQ-1636,B04,2026-05-20,Oil & Filter Overhaul,Subedar Tech,12,"Tire Assembly, Hub Bearing",43692,1
ML-6897,EQ-1636,B04,2026-03-20,Emergency Repair,Naik Mech,4,"Oil Filter, Gaskets",39995,5
ML-6898,EQ-1637,B04,2026-05-09,Emergency Repair,Warrant Officer,6,"Oil Filter, Gaskets",41403,1
ML-6899,EQ-1637,B04,2026-02-20,Corrective Repair,Havildar Tech,12,"Brake Pads, Hydraulic Line",47077,7
ML-6900,EQ-1638,B01,2026-06-09,Pre-Mission Inspection,Havildar Tech,12,"Sensors, Wiring Harness",72579,1
ML-6901,EQ-1638,B01,2026-04-22,Corrective Repair,Warrant Officer,16,"Injector Nozzle, Fuel Filter",74450,2
ML-6902,EQ-1638,B01,2026-02-06,Corrective Repair,Subedar Tech,12,"Starter Motor, Battery",98188,7
ML-6903,EQ-1638,B01,2025-12-13,Routine Preventive,Naik Mech,16,"Tire Assembly, Hub Bearing",103168,1
ML-6904,EQ-1639,B05,2026-06-21,Oil & Filter Overhaul,Warrant Officer,8,"Oil Filter, Gaskets",12844,1
ML-6905,EQ-1639,B05,2026-04-24,Pre-Mission Inspection,Warrant Officer,24,"Brake Pads, Hydraulic Line",13082,1
ML-6906,EQ-1640,B04,2026-06-19,Corrective Repair,Warrant Officer,48,"Oil Filter, Gaskets",30871,7
ML-6907,EQ-1640,B04,2026-05-11,Pre-Mission Inspection,Sergeant,24,"Sensors, Wiring Harness",21902,1
ML-6908,EQ-1641,B01,2026-06-24,Emergency Repair,Subedar Tech,6,"Sensors, Wiring Harness",16915,1
ML-6909,EQ-1641,B01,2026-04-23,Emergency Repair,Naik Mech,6,"Radiator Core, Coolant",13595,5
ML-6910,EQ-1641,B01,2026-02-08,Oil & Filter Overhaul,Sergeant,48,"Brake Pads, Hydraulic Line",15175,1
ML-6911,EQ-1642,B08,2026-05-05,Corrective Repair,Naik Mech,48,"Starter Motor, Battery",45121,3
ML-6912,EQ-1642,B08,2026-02-22,Routine Preventive,Sergeant,24,"Radiator Core, Coolant",50724,1
ML-6913,EQ-1642,B08,2025-11-15,Pre-Mission Inspection,Warrant Officer,8,"Starter Motor, Battery",57348,1
ML-6914,EQ-1643,B06,2026-06-21,Oil & Filter Overhaul,Havildar Tech,12,"Oil Filter, Gaskets",13544,1
ML-6915,EQ-1643,B06,2026-04-20,Emergency Repair,Sergeant,4,"Brake Pads, Hydraulic Line",16795,7
ML-6916,EQ-1643,B06,2026-02-22,Corrective Repair,Subedar Tech,8,"Brake Pads, Hydraulic Line",15063,3
ML-6917,EQ-1643,B06,2025-12-11,Pre-Mission Inspection,Naik Mech,4,"Alternator, Belt Drive",13282,1
ML-6918,EQ-1644,B05,2026-06-06,Corrective Repair,Havildar Tech,16,"Sensors, Wiring Harness",106190,7
ML-6919,EQ-1644,B05,2026-04-19,Routine Preventive,Sergeant,12,"Tire Assembly, Hub Bearing",91680,1
ML-6920,EQ-1645,B05,2026-05-26,Emergency Repair,Warrant Officer,16,"Starter Motor, Battery",47075,3
ML-6921,EQ-1645,B05,2026-03-07,Emergency Repair,Sergeant,4,"Tire Assembly, Hub Bearing",42744,1
ML-6922,EQ-1646,B02,2026-07-06,Corrective Repair,Warrant Officer,6,"Tire Assembly, Hub Bearing",27654,2
ML-6923,EQ-1646,B02,2026-05-23,Emergency Repair,Sergeant,48,"Radiator Core, Coolant",27892,3
ML-6924,EQ-1647,B03,2026-07-22,Oil & Filter Overhaul,Subedar Tech,6,"Alternator, Belt Drive",77545,1
ML-6925,EQ-1647,B03,2026-06-07,Pre-Mission Inspection,Sergeant,6,"Injector Nozzle, Fuel Filter",66317,1
ML-6926,EQ-1647,B03,2026-05-18,Corrective Repair,Naik Mech,8,"Tire Assembly, Hub Bearing",72227,1
ML-6927,EQ-1648,B02,2026-05-25,Oil & Filter Overhaul,Naik Mech,16,"Radiator Core, Coolant",48443,1
ML-6928,EQ-1648,B02,2026-02-10,Routine Preventive,Sergeant,12,"Sensors, Wiring Harness",53882,1
ML-6929,EQ-1649,B02,2026-06-22,Pre-Mission Inspection,Subedar Tech,4,"Sensors, Wiring Harness",26420,1
ML-6930,EQ-1649,B02,2026-05-12,Routine Preventive,Warrant Officer,8,"Tire Assembly, Hub Bearing",24375,1
ML-6931,EQ-1650,B04,2026-06-19,Oil & Filter Overhaul,Naik Mech,8,"Oil Filter, Gaskets",29526,1
ML-6932,EQ-1650,B04,2026-05-20,Oil & Filter Overhaul,Naik Mech,4,"Brake Pads, Hydraulic Line",24205,1
ML-6933,EQ-1650,B04,2026-04-10,Routine Preventive,Subedar Tech,12,"Oil Filter, Gaskets",25729,1
ML-6934,EQ-1651,B01,2026-06-19,Routine Preventive,Havildar Tech,12,"Injector Nozzle, Fuel Filter",10949,1
ML-6935,EQ-1651,B01,2026-04-06,Routine Preventive,Naik Mech,48,"Brake Pads, Hydraulic Line",15832,1
ML-6936,EQ-1651,B01,2026-02-16,Pre-Mission Inspection,Havildar Tech,6,"Starter Motor, Battery",14297,1
ML-6937,EQ-1651,B01,2025-12-20,Corrective Repair,Sergeant,6,"Radiator Core, Coolant",12191,5
ML-6938,EQ-1652,B08,2026-06-11,Routine Preventive,Sergeant,8,"Injector Nozzle, Fuel Filter",13577,1
ML-6939,EQ-1652,B08,2026-04-14,Emergency Repair,Naik Mech,48,"Tire Assembly, Hub Bearing",12326,3
ML-6940,EQ-1652,B08,2026-02-06,Corrective Repair,Sergeant,24,"Radiator Core, Coolant",14407,5
ML-6941,EQ-1652,B08,2025-12-19,Oil & Filter Overhaul,Naik Mech,48,"Brake Pads, Hydraulic Line",13073,1
ML-6942,EQ-1653,B08,2026-06-02,Corrective Repair,Subedar Tech,48,"Radiator Core, Coolant",33560,5
ML-6943,EQ-1653,B08,2026-03-18,Oil & Filter Overhaul,Naik Mech,12,"Sensors, Wiring Harness",46175,1
ML-6944,EQ-1653,B08,2025-12-31,Corrective Repair,Sergeant,16,"Sensors, Wiring Harness",32796,7
ML-6945,EQ-1654,B07,2026-07-14,Emergency Repair,Sergeant,24,"Alternator, Belt Drive",61956,3
ML-6946,EQ-1654,B07,2026-06-08,Emergency Repair,Havildar Tech,6,"Oil Filter, Gaskets",78243,5
ML-6947,EQ-1655,B05,2026-06-24,Emergency Repair,Sergeant,8,"Sensors, Wiring Harness",17108,1
ML-6948,EQ-1655,B05,2026-04-08,Pre-Mission Inspection,Naik Mech,12,"Alternator, Belt Drive",16786,1
ML-6949,EQ-1656,B01,2026-05-21,Routine Preventive,Naik Mech,6,"Alternator, Belt Drive",30936,1
ML-6950,EQ-1656,B01,2026-03-14,Routine Preventive,Naik Mech,8,"Brake Pads, Hydraulic Line",44246,1
ML-6951,EQ-1657,B04,2026-07-06,Pre-Mission Inspection,Sergeant,24,"Starter Motor, Battery",25697,1
ML-6952,EQ-1657,B04,2026-05-17,Corrective Repair,Naik Mech,4,"Brake Pads, Hydraulic Line",30054,2
ML-6953,EQ-1658,B02,2026-06-09,Oil & Filter Overhaul,Sergeant,4,"Brake Pads, Hydraulic Line",14753,1
ML-6954,EQ-1658,B02,2026-04-23,Pre-Mission Inspection,Sergeant,4,"Alternator, Belt Drive",11338,1
ML-6955,EQ-1658,B02,2026-02-22,Corrective Repair,Havildar Tech,4,"Alternator, Belt Drive",15930,2
ML-6956,EQ-1659,B04,2026-06-18,Pre-Mission Inspection,Havildar Tech,4,"Tire Assembly, Hub Bearing",75741,1
ML-6957,EQ-1659,B04,2026-04-10,Corrective Repair,Sergeant,16,"Brake Pads, Hydraulic Line",111395,5
ML-6958,EQ-1659,B04,2026-02-23,Routine Preventive,Havildar Tech,48,"Tire Assembly, Hub Bearing",75982,1
ML-6959,EQ-1660,B06,2026-06-18,Emergency Repair,Warrant Officer,12,"Radiator Core, Coolant",17292,3
ML-6960,EQ-1660,B06,2026-04-12,Pre-Mission Inspection,Havildar Tech,4,"Starter Motor, Battery",11914,1
ML-6961,EQ-1660,B06,2026-02-23,Pre-Mission Inspection,Havildar Tech,12,"Alternator, Belt Drive",16936,1
ML-6962,EQ-1660,B06,2025-12-14,Corrective Repair,Naik Mech,16,"Alternator, Belt Drive",11464,2
ML-6963,EQ-1661,B01,2026-06-19,Routine Preventive,Havildar Tech,12,"Alternator, Belt Drive",15833,1
ML-6964,EQ-1661,B01,2026-04-21,Routine Preventive,Warrant Officer,8,"Tire Assembly, Hub Bearing",14976,1
ML-6965,EQ-1661,B01,2026-02-06,Pre-Mission Inspection,Sergeant,24,"Alternator, Belt Drive",14356,1
ML-6966,EQ-1662,B07,2026-05-14,Corrective Repair,Warrant Officer,8,"Injector Nozzle, Fuel Filter",61347,1
ML-6967,EQ-1662,B07,2026-02-10,Oil & Filter Overhaul,Warrant Officer,12,"Injector Nozzle, Fuel Filter",44920,1
ML-6968,EQ-1662,B07,2025-11-15,Emergency Repair,Havildar Tech,12,"Oil Filter, Gaskets",41483,1
ML-6969,EQ-1663,B01,2026-06-11,Routine Preventive,Warrant Officer,4,"Alternator, Belt Drive",97564,1
ML-6970,EQ-1663,B01,2026-04-21,Emergency Repair,Naik Mech,4,"Tire Assembly, Hub Bearing",97321,2
ML-6971,EQ-1663,B01,2026-02-08,Corrective Repair,Naik Mech,4,"Radiator Core, Coolant",105915,2
ML-6972,EQ-1664,B01,2026-06-05,Routine Preventive,Havildar Tech,6,"Radiator Core, Coolant",16142,1
ML-6973,EQ-1664,B01,2026-04-18,Corrective Repair,Subedar Tech,4,"Radiator Core, Coolant",13010,5
ML-6974,EQ-1664,B01,2026-02-20,Routine Preventive,Warrant Officer,24,"Injector Nozzle, Fuel Filter",11757,1
ML-6975,EQ-1665,B02,2026-06-23,Oil & Filter Overhaul,Warrant Officer,4,"Alternator, Belt Drive",30444,1
ML-6976,EQ-1665,B02,2026-05-08,Corrective Repair,Sergeant,12,"Alternator, Belt Drive",25811,1
ML-6977,EQ-1666,B01,2026-06-20,Oil & Filter Overhaul,Naik Mech,24,"Tire Assembly, Hub Bearing",29975,1
ML-6978,EQ-1666,B01,2026-05-13,Oil & Filter Overhaul,Sergeant,4,"Radiator Core, Coolant",28270,1
ML-6979,EQ-1666,B01,2026-03-31,Pre-Mission Inspection,Sergeant,12,"Radiator Core, Coolant",33043,1
ML-6980,EQ-1666,B01,2026-02-15,Corrective Repair,Sergeant,4,"Alternator, Belt Drive",29611,1
ML-6981,EQ-1667,B06,2026-07-08,Emergency Repair,Warrant Officer,8,"Injector Nozzle, Fuel Filter",21495,1
ML-6982,EQ-1667,B06,2026-05-18,Oil & Filter Overhaul,Sergeant,16,"Brake Pads, Hydraulic Line",25920,1
ML-6983,EQ-1667,B06,2026-03-24,Routine Preventive,Sergeant,8,"Starter Motor, Battery",21173,1
ML-6984,EQ-1668,B02,2026-05-21,Oil & Filter Overhaul,Sergeant,6,"Starter Motor, Battery",64585,1
ML-6985,EQ-1668,B02,2026-02-24,Emergency Repair,Naik Mech,8,"Brake Pads, Hydraulic Line",61043,3
ML-6986,EQ-1668,B02,2025-11-23,Emergency Repair,Sergeant,8,"Starter Motor, Battery",59811,1
ML-6987,EQ-1668,B02,2025-08-18,Oil & Filter Overhaul,Sergeant,8,"Tire Assembly, Hub Bearing",54912,1
ML-6988,EQ-1669,B07,2026-05-08,Corrective Repair,Havildar Tech,6,"Sensors, Wiring Harness",65130,3
ML-6989,EQ-1669,B07,2026-02-24,Emergency Repair,Naik Mech,6,"Sensors, Wiring Harness",64867,7
ML-6990,EQ-1669,B07,2025-11-07,Emergency Repair,Subedar Tech,6,"Brake Pads, Hydraulic Line",43193,2
ML-6991,EQ-1669,B07,2025-08-09,Oil & Filter Overhaul,Havildar Tech,6,"Oil Filter, Gaskets",44465,1
ML-6992,EQ-1670,B03,2026-06-21,Pre-Mission Inspection,Subedar Tech,4,"Alternator, Belt Drive",22470,1
ML-6993,EQ-1670,B03,2026-05-25,Routine Preventive,Sergeant,4,"Sensors, Wiring Harness",22841,1
ML-6994,EQ-1671,B01,2026-07-07,Pre-Mission Inspection,Subedar Tech,8,"Radiator Core, Coolant",27186,1
ML-6995,EQ-1671,B01,2026-05-25,Corrective Repair,Havildar Tech,16,"Injector Nozzle, Fuel Filter",29997,3
ML-6996,EQ-1671,B01,2026-03-30,Corrective Repair,Havildar Tech,6,"Injector Nozzle, Fuel Filter",29995,5
ML-6997,EQ-1672,B05,2026-05-10,Oil & Filter Overhaul,Havildar Tech,12,"Sensors, Wiring Harness",52096,1
ML-6998,EQ-1672,B05,2026-02-13,Routine Preventive,Naik Mech,12,"Sensors, Wiring Harness",45467,1
ML-6999,EQ-1672,B05,2025-11-26,Oil & Filter Overhaul,Warrant Officer,6,"Brake Pads, Hydraulic Line",61491,1
ML-7000,EQ-1673,B04,2026-05-21,Routine Preventive,Sergeant,24,"Tire Assembly, Hub Bearing",44790,1
ML-7001,EQ-1673,B04,2026-02-13,Emergency Repair,Sergeant,4,"Injector Nozzle, Fuel Filter",56264,3
ML-7002,EQ-1674,B04,2026-05-23,Oil & Filter Overhaul,Sergeant,8,"Sensors, Wiring Harness",46269,1
ML-7003,EQ-1674,B04,2026-02-04,Pre-Mission Inspection,Naik Mech,12,"Sensors, Wiring Harness",54058,1
ML-7004,EQ-1674,B04,2025-11-22,Routine Preventive,Warrant Officer,48,"Alternator, Belt Drive",66431,1
ML-7005,EQ-1674,B04,2025-08-11,Emergency Repair,Subedar Tech,24,"Tire Assembly, Hub Bearing",46125,7
ML-7006,EQ-1675,B01,2026-05-29,Corrective Repair,Subedar Tech,6,"Tire Assembly, Hub Bearing",30089,3
ML-7007,EQ-1675,B01,2026-03-15,Emergency Repair,Subedar Tech,48,"Starter Motor, Battery",33025,5
ML-7008,EQ-1676,B02,2026-07-11,Oil & Filter Overhaul,Warrant Officer,16,"Sensors, Wiring Harness",72430,1
ML-7009,EQ-1676,B02,2026-06-07,Corrective Repair,Havildar Tech,48,"Brake Pads, Hydraulic Line",84372,5
ML-7010,EQ-1677,B06,2026-07-20,Emergency Repair,Sergeant,8,"Tire Assembly, Hub Bearing",79551,1
ML-7011,EQ-1677,B06,2026-06-15,Corrective Repair,Subedar Tech,12,"Tire Assembly, Hub Bearing",83755,1
ML-7012,EQ-1678,B07,2026-06-14,Emergency Repair,Warrant Officer,12,"Tire Assembly, Hub Bearing",11065,1
ML-7013,EQ-1678,B07,2026-04-13,Corrective Repair,Sergeant,24,"Starter Motor, Battery",11980,5
ML-7014,EQ-1678,B07,2026-02-18,Corrective Repair,Havildar Tech,4,"Injector Nozzle, Fuel Filter",10654,1
ML-7015,EQ-1679,B07,2026-07-07,Corrective Repair,Warrant Officer,12,"Brake Pads, Hydraulic Line",73339,1
ML-7016,EQ-1679,B07,2026-06-14,Emergency Repair,Sergeant,8,"Alternator, Belt Drive",74527,2
ML-7017,EQ-1679,B07,2026-05-25,Oil & Filter Overhaul,Sergeant,8,"Sensors, Wiring Harness",71874,1
ML-7018,EQ-1679,B07,2026-04-24,Oil & Filter Overhaul,Sergeant,6,"Injector Nozzle, Fuel Filter",56578,1
ML-7019,EQ-1680,B03,2026-06-08,Oil & Filter Overhaul,Subedar Tech,48,"Oil Filter, Gaskets",99228,1
ML-7020,EQ-1680,B03,2026-04-05,Oil & Filter Overhaul,Naik Mech,8,"Oil Filter, Gaskets",75435,1
ML-7021,EQ-1680,B03,2026-02-22,Routine Preventive,Naik Mech,12,"Radiator Core, Coolant",88545,1
ML-7022,EQ-1680,B03,2025-12-16,Oil & Filter Overhaul,Sergeant,24,"Brake Pads, Hydraulic Line",81176,1
ML-7023,EQ-1681,B04,2026-05-24,Emergency Repair,Sergeant,12,"Brake Pads, Hydraulic Line",44885,7
ML-7024,EQ-1681,B04,2026-02-07,Routine Preventive,Warrant Officer,6,"Tire Assembly, Hub Bearing",57850,1
ML-7025,EQ-1681,B04,2025-11-24,Emergency Repair,Sergeant,16,"Sensors, Wiring Harness",43616,5
ML-7026,EQ-1681,B04,2025-08-25,Emergency Repair,Warrant Officer,16,"Tire Assembly, Hub Bearing",43048,3
ML-7027,EQ-1682,B04,2026-07-02,Pre-Mission Inspection,Sergeant,6,"Starter Motor, Battery",25214,1
ML-7028,EQ-1682,B04,2026-05-09,Emergency Repair,Naik Mech,6,"Sensors, Wiring Harness",22552,1
ML-7029,EQ-1682,B04,2026-03-27,Oil & Filter Overhaul,Sergeant,24,"Tire Assembly, Hub Bearing",32351,1
ML-7030,EQ-1683,B01,2026-06-29,Corrective Repair,Subedar Tech,8,"Oil Filter, Gaskets",21319,2
ML-7031,EQ-1683,B01,2026-05-09,Routine Preventive,Naik Mech,8,"Sensors, Wiring Harness",25292,1
ML-7032,EQ-1683,B01,2026-04-10,Routine Preventive,Sergeant,12,"Starter Motor, Battery",31010,1
ML-7033,EQ-1684,B07,2026-05-31,Pre-Mission Inspection,Warrant Officer,6,"Tire Assembly, Hub Bearing",31521,1
ML-7034,EQ-1684,B07,2026-03-20,Routine Preventive,Warrant Officer,16,"Oil Filter, Gaskets",28920,1
ML-7035,EQ-1684,B07,2026-01-08,Oil & Filter Overhaul,Naik Mech,4,"Injector Nozzle, Fuel Filter",31638,1
ML-7036,EQ-1684,B07,2025-10-21,Corrective Repair,Havildar Tech,8,"Tire Assembly, Hub Bearing",34420,3
ML-7037,EQ-1685,B05,2026-05-14,Emergency Repair,Subedar Tech,12,"Tire Assembly, Hub Bearing",61177,1
ML-7038,EQ-1685,B05,2026-02-05,Pre-Mission Inspection,Naik Mech,24,"Sensors, Wiring Harness",56888,1
ML-7039,EQ-1685,B05,2025-11-20,Routine Preventive,Sergeant,8,"Oil Filter, Gaskets",48391,1
ML-7040,EQ-1686,B05,2026-06-17,Oil & Filter Overhaul,Warrant Officer,48,"Brake Pads, Hydraulic Line",13521,1
ML-7041,EQ-1686,B05,2026-04-05,Routine Preventive,Havildar Tech,4,"Radiator Core, Coolant",14658,1
ML-7042,EQ-1686,B05,2026-02-23,Emergency Repair,Havildar Tech,24,"Injector Nozzle, Fuel Filter",11101,1
ML-7043,EQ-1686,B05,2025-12-10,Pre-Mission Inspection,Sergeant,12,"Radiator Core, Coolant",10849,1
ML-7044,EQ-1687,B05,2026-07-01,Emergency Repair,Subedar Tech,24,"Sensors, Wiring Harness",25474,2
ML-7045,EQ-1687,B05,2026-05-21,Emergency Repair,Naik Mech,6,"Brake Pads, Hydraulic Line",20702,5
ML-7046,EQ-1688,B03,2026-06-12,Pre-Mission Inspection,Havildar Tech,8,"Brake Pads, Hydraulic Line",16055,1
ML-7047,EQ-1688,B03,2026-04-08,Corrective Repair,Warrant Officer,8,"Starter Motor, Battery",15889,1
ML-7048,EQ-1688,B03,2026-02-12,Corrective Repair,Naik Mech,6,"Oil Filter, Gaskets",17186,3
ML-7049,EQ-1689,B07,2026-06-23,Oil & Filter Overhaul,Subedar Tech,24,"Starter Motor, Battery",80360,1
ML-7050,EQ-1689,B07,2026-04-23,Pre-Mission Inspection,Havildar Tech,16,"Injector Nozzle, Fuel Filter",87916,1
ML-7051,EQ-1689,B07,2026-02-05,Corrective Repair,Warrant Officer,4,"Alternator, Belt Drive",106826,5
